,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,31,NZ,1594930817,83,-46.19,168.86,277.04,1.34
1,Korla,7,CN,1594853672,23,41.76,86.15,301.03,5.64
2,New Norfolk,6,AU,1594935396,77,-42.78,147.06,278.15,1.79
3,Busselton,61,AU,1594855224,87,-33.65,115.33,285.93,5.54
4,Porto Torres,40,IT,1594872511,60,40.84,8.4,297.15,6.2
5,Mogadishu,100,SO,1594868266,78,2.04,45.34,298.42,10.72
6,Hermanus,56,ZA,1594878387,64,-34.42,19.23,290.37,0.45
7,Leningradskiy,99,RU,0,91,69.38,178.42,278.37,4.55
8,Barrow,75,US,0,80,71.29,-156.79,275.15,5.1
9,Monte Carmelo,0,BR,1594892545,44,-18.72,-47.5,298.03,4.58
10,Yellowknife,40,CA,1594894723,59,62.46,-114.35,290.37,2.6
11,Myitkyina,97,MM,1594853372,95,25.38,97.4,297.15,0.88
12,Kaitangata,40,NZ,1594930598,69,-46.28,169.85,279.26,2.68
13,Ushuaia,29,AR,1594903538,92,-54.8,-68.3,271.15,3.6
14,Mayor Pablo Lagerenza,66,PY,1594895856,37,-19.93,-60.77,305.78,0.76
15,Antalaha,1,MG,1594868693,76,-14.9,50.28,294.96,4.78
16,Dikson,25,RU,0,91,73.51,80.55,278.28,1.81
17,Hobart,25,AU,1594935349,93,-42.88,147.33,278.15,1.76
18,Upernavik,99,GL,0,83,72.79,-56.15,280.25,2.41
19,Tarauacá,0,BR,1594897090,85,-8.16,-70.77,300.73,1.39
20,Cape Town,0,ZA,1594878514,59,-33.93,18.42,291.15,3.6
21,Albany,90,US,1594891965,65,42.6,-73.97,297.04,4.9
22,Astorga,53,BR,1594894027,56,-23.23,-51.67,294.15,3.6
23,Hithadhoo,97,MV,1594861855,69,-0.6,73.08,302.42,1.64
24,Coahuayana Viejo,75,MX,1594902392,83,18.73,-103.68,298.15,4.1
25,Mahébourg,40,MU,1594867477,73,-20.41,57.7,295.15,2.6
26,Nanning,95,CN,1594851048,79,22.82,108.32,302.15,4.0
27,Punta Arenas,40,CL,1594903665,86,-53.15,-70.92,271.15,3.1
28,Jamestown,75,US,1594893325,78,42.1,-79.24,296.48,3.6
29,Eureka,0,US,1594904350,100,40.8,-124.16,287.04,0.96
30,Pisco,90,PE,1594898932,93,-13.7,-76.22,288.71,1.5
31,Tiksi,11,RU,0,91,71.69,128.87,274.84,6.86
32,Northam,45,GB,1594873265,78,51.03,-4.22,293.15,2.68
33,Conde,90,BR,1594888398,83,-7.26,-34.91,299.15,4.6
34,Rikitea,100,PF,1594914003,83,-23.12,-134.97,296.19,2.01
35,Ketchikan,90,US,1594902489,100,55.34,-131.65,286.15,1.5
36,Comodoro Rivadavia,90,AR,1594901094,93,-45.87,-67.5,276.15,0.5
37,Hobyo,98,SO,1594867188,70,5.35,48.53,300.03,13.36
38,Kikwit,1,CD,1594875294,21,-5.04,18.82,306.34,1.44
39,Lompoc,90,US,1594904458,87,34.64,-120.46,287.15,1.5
40,Qaanaaq,66,GL,0,76,77.48,-69.36,279.97,2.8
41,Edgewater,75,US,1594895733,83,28.99,-80.9,305.37,4.1
42,Liyang,100,CN,1594847816,88,29.71,118.29,298.04,0.85
43,Esperance,75,AU,1594853678,100,-33.87,121.9,287.15,5.7
44,Vila Velha,75,BR,1594890983,78,-20.33,-40.29,295.15,4.6
45,Faya,40,SA,1594867349,54,18.39,42.45,300.15,7.7
46,Kysyl-Syr,85,RU,1594923126,94,63.9,122.76,292.12,2.89
47,Mar del Plata,99,AR,1594897332,62,-38.0,-57.56,284.26,3.1
48,Port-Cartier,75,CA,1594888588,72,50.03,-66.87,293.15,4.6
49,Thompson,75,CA,1594894221,77,55.74,-97.86,290.15,6.7
50,Hirara,93,JP,1594933175,82,24.8,125.28,302.78,9.04
51,Bredasdorp,75,ZA,1594878208,59,-34.53,20.04,290.15,3.1
52,Shimoda,100,JP,1594928606,95,34.67,138.95,291.48,0.45
53,Hilo,75,US,1594914627,73,19.73,-155.09,296.15,2.1
54,Yumen,77,CN,1594851287,38,40.28,97.2,294.52,3.82
55,Severnoye,0,RU,1594851646,90,56.35,78.36,294.84,3.42
56,Sitges,40,ES,1594874021,70,41.24,1.81,298.71,2.24
57,Kapaa,40,US,1594915384,78,22.08,-159.32,299.15,5.1
58,Coihueco,90,CL,1594900549,100,-36.62,-71.83,285.93,4.6
59,Cam Ranh,20,VN,1594851998,79,11.92,109.16,303.15,3.6
60,Santa Maria,100,BR,1594895292,95,-29.68,-53.81,280.2,3.99
61,Arraial do Cabo,75,BR,1594891685,60,-22.97,-42.03,295.15,3.1
62,Faanui,100,PF,1594917334,88,-16.48,-151.75,297.4,6.8
63,Nueva Concepción,90,GT,1594899890,70,14.2,-91.3,303.15,1.39
64,Kingsport,20,US,1594895069,62,36.55,-82.56,304.26,2.1
65,Tual,80,ID,1594934411,85,-5.67,132.75,299.12,9.22
66,Port Alfred,0,ZA,1594876436,44,-33.59,26.89,287.65,2.2
67,Chokurdakh,100,RU,0,96,70.63,147.92,276.43,3.13
68,Punta Gorda,1,US,1594896267,58,26.93,-82.05,305.37,2.6
69,Ormara,19,PK,1594861257,57,25.21,64.64,305.57,3.33
70,Cabo San Lucas,5,MX,1594903431,65,22.89,-109.91,304.26,2.1
71,São Filipe,25,CV,1594883783,80,14.9,-24.5,297.71,4.14
72,Alexandria,40,EG,1594868823,58,31.22,29.96,301.15,6.7
73,Vao,78,NC,1594927764,64,-22.67,167.48,294.07,6.87
74,College,90,US,1594900685,93,64.86,-147.8,286.15,2.1
75,Brae,75,GB,1594868876,100,60.4,-1.35,286.15,5.7
76,Severo-Kuril'sk,49,RU,1594921321,91,50.68,156.12,282.7,2.12
77,Tevaitoa,80,PF,1594917304,82,-16.78,-151.5,298.56,6.6
78,Ocampo,82,MX,1594901551,58,21.65,-101.5,293.06,3.28
79,Coyhaique,90,CL,1594902132,86,-45.58,-72.07,273.15,1.0
80,Tasiilaq,20,GL,1594873307,66,65.61,-37.64,282.15,5.1
81,Khatanga,100,RU,0,74,71.97,102.5,285.18,7.43
82,Bluff,41,NZ,1594931028,83,-46.6,168.33,277.04,1.34
83,Heraclea,75,TR,1594866917,28,37.51,34.05,303.36,5.84
84,Port Elizabeth,10,ZA,1594876797,55,-33.92,25.57,289.15,1.5
85,Atuona,1,PF,1594913628,77,-9.8,-139.03,299.58,8.58
86,Ilulissat,75,GL,0,75,69.22,-51.1,281.15,2.6
87,Port Lincoln,0,AU,1594936818,87,-34.73,135.87,285.05,4.69
88,Clarence Town,90,AU,1594932710,71,-32.58,151.78,286.15,6.2
89,Beloha,32,MG,1594871035,71,-25.17,45.05,289.55,3.29
90,Noumea,20,NC,1594927966,77,-22.28,166.46,289.15,1.0
91,Safford,1,US,1594902137,31,32.83,-109.71,304.15,4.6
92,Katsuura,75,JP,1594928214,88,35.13,140.3,294.26,4.6
